name,latitude,longitude
Zorbau,51.19,12.02
Zopten,50.52,11.34
Zoppoten,50.49,11.69
Zoppaten,50.02,11.69
Zopp,50.86,6.13
Zöpen,51.16,12.43
Zootzen,53.15,13.21
Zootzen,53.13,12.58
Zootzen,52.78,12.59
Zons,51.12,6.84
Zoltingen,48.72,10.51
Zollwitz,51.11,12.83
Zollstock,50.91,6.94
Zollschwitz,51.17,12.94
Zöllschen,51.27,12.11
Zöllnitz,51.01,12.81
Zöllnitz,50.86,11.63
Zöllmersdorf,51.85,13.66
Zöllmen,51.04,13.61
Zolling,48.81,13.07
Zolling,48.66,13.45
Zolling,48.45,11.76
Zollhof,49.02,9.99
Zollhaus,50.64,11.46
Zollhaus,50.28,8.06
Zollhaus,47.83,8.55
Zollgrün,50.51,11.83
Zollenspieker,53.40,10.18
Zollenreute,47.92,9.64
Zollchow,53.26,13.84
Zollchow,52.52,12.21
Zollbrunn,50.23,10.28
Zollbrück,50.48,10.69
Zollbaum,53.77,9.18
Zölkow,53.56,11.82
Zolkendorf,53.72,13.00
Zoghaus,50.66,12.12
Zoggendorf,49.86,11.15
Zogenweiler,47.83,9.50
Zogenreuth,49.70,11.65
Zodel,51.23,15.01
Zockau,51.15,14.29
Zochenreuth,49.87,11.28
Zochau,51.33,13.83
Zoblitz,51.13,14.74
Zöblitz,50.65,13.22
Zöbisch,50.48,12.45
Zöbingen,48.93,10.33
Zöbigker,51.26,12.35
Zobes,50.50,12.25
Zobersdorf,51.49,13.40
Zöberitz,51.50,12.03
Zobbenitz,52.40,11.36
Zizishausen,48.64,9.34
Zizingen,47.78,7.61
Zizenhausen,47.87,9.00
Zixdorf,52.02,12.68
Zitzschewig,51.11,13.60
Zitzschen,51.22,12.26
Zitz,52.32,12.32
Zittvitz,54.41,13.46
Zittow,53.67,11.52
Zitters,50.69,10.01
Zitterpenningshagen,54.25,13.08
Zitterhuck,51.55,6.40
Zittenfelden,49.60,9.24
Zittau,50.89,14.80
Ziswingen,48.78,10.58
Zissenhof,49.72,11.76
Zissenhausen,53.62,7.89
Zislow,53.43,12.31
Zischkowitz,51.20,14.28
Zischendorf,49.22,10.25
Zirzow,53.58,13.19
Zirzevitz,54.41,13.48
Zirtow,53.27,12.90
Zirsen,53.50,8.40
Zirre,50.93,7.55
Zirndorf,49.44,10.95
Zirndorf,49.19,10.47
Zirndorf,48.98,10.66
Zirnberg,49.07,12.60
Zirmoisel,54.50,13.33
Zirkow,54.38,13.53
Zirkow,54.36,13.32
Zirkenreuth,49.95,12.30
Zirkenbach,50.52,9.64
Zirkel,50.60,11.09
Zirchow,53.89,14.13
Zipsendorf,51.05,12.28
Zips,49.77,11.57
Zipplingen,48.92,10.40
Zippfeld,53.85,11.38
Zippern,47.88,9.49
Zippendorf,53.60,11.46
Zippelsförde,52.99,12.89
Zippelow,53.46,13.12
Zipkeleben,52.10,11.71
Zipke,54.34,12.77
Zipfen,49.82,8.91
Zinzow,53.71,13.54
Zinzenzell,49.07,12.57
Zinzendorf,48.98,12.47
Zintlhammer,49.77,11.92
Zinst,49.89,11.92
Zinskenfehn,53.27,7.72
Zinsershütten,49.65,7.02
Zinse,51.00,8.21
Zinsdorf,51.54,13.33
Zinow,53.36,13.17
Zinnwald-Georgenfeld,50.73,13.76
Zinnwald,50.73,13.76
Ostseebad Zinnowitz,54.07,13.91
Zinnitz,51.79,13.84
Zinneberg,47.99,11.88
Zinndorf,52.50,13.92
Zinnberg,50.91,12.68
Zinnberg,50.44,12.51
Zinna,51.56,12.95
Zinna,50.92,11.73
Zinklmiltach,48.39,11.58
Zinken,48.13,7.97
Zinkenried,49.00,13.05
Zinken,48.10,8.01
Zinhain,50.64,7.92
Zingst,54.43,12.68
Zingst,51.29,11.56
Zingsheim,50.51,6.65
Zindelstein,47.98,8.38
Zimpel-Tauer,51.31,14.63
Zimpel,51.32,14.61
Zimmritz,50.85,11.49
Zimmert,54.56,9.86
Zimmersrode,51.00,9.22
Zimmerseifen,50.99,7.64
Zimmersdorf,49.15,10.48
Zimmerschied,50.35,7.78
Zimmern unter der Burg,48.22,8.71
Zimmernsupra,50.98,10.86
Zimmern ob Rottweil,48.16,8.59
Zimmern,51.08,10.57
Zimmern,51.0,11.63
Zimmern,49.89,9.59
Zimmern,49.59,9.78
Zimmern,49.43,9.37
Zimmern,48.92,10.98
Zimmern,48.81,9.87
Zimmern,48.55,7.98
Zimmern,48.34,12.92
Zimmern,48.32,8.94
Zimmern,47.93,8.70
Zimmering,49.16,12.48
Zimmerholz,47.86,8.74
Zimmerhof,49.25,9.11
Zimmerberg,48.94,9.97
Zimmerberg,47.7,9.9
Zimmerberg,47.66,9.60
Zimmerbach,48.86,9.77
Zimmerau,50.26,10.58
